Маркетплейс	Номенклатура	Продавец	Производитель	Цвет	Применяемость	Аналог RubEX	"Длина, м"	"Диаметр, мм"	"Цена, руб."	"Цена за пог.м., руб."	Ссылка на товар
ОЗОН	"Шланг напорно-всасывающий 50 мм (2""), 10 атм (СЕВЕР МОРОЗОСТОЙКИЙ до -55С), ассенизаторский, гофрированный, ( ПВХ / Каучук ), защита от УФ, зеленый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	30	50	23165	772	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-50-mm-2-10-atm-sever-morozostoykiy-do-55s-assenizatorskiy-924797775/?asb=g%252FCVNPci7rLDqQp1hsYdmcL0d8MAWTN749PBpXs%252Bmb8%253D&asb2=qKXbVrJKvzvrm5vPu0WHjIvmDSXbpA3JJeGGsaJQiqVWji5R2i2YnUw8XX3okGlU&avtc=1&avte=2&avts=1684418069&from_sku=924792419&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGssUKQ
ОЗОН	"НОВЭМ шланг напорно-всасывающий, спирально-армированный пвх север 10атм 50мм 10м Север_10атм_50_10"	ИП Лаптева Нина Викторовна	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	10	50	7106	711	https://www.ozon.ru/product/novem-shlang-naporno-vsasyvayushchiy-spiralno-armirovannyy-pvh-sever-10atm-50mm-10m-sever-10atm-806326506/?asb=biwmVFcLXEMvsqhsg0G9yGqcafkjaAD37sozoKl6JQU%253D&asb2=AQ5ljMrFaznd_96AuUaFinsThxdLwI6LWBxbk8QNT4PbstPnlNMei_S6VTbvSgRA&avtc=1&avte=2&avts=1684418069&sh=wqyUGicXow
ОЗОН	Шланг напорно-всасывающий/поливочный для дренажного насоса морозостойкий/армированный прозрачный из ПВХ d 50 мм ( длина 25 метров )	TWStrade (ИП Фомичев Михаил)	FLYING DRAGON	красный	дренажный	IRRIGATION	25	50	8964	359	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-polivochnyy-dlya-drenazhnogo-nasosa-morozostoykiy-801068670/?asb=Qg2igJnTU3qwpo0u5uAd6AZzUVPYZPwWKlL4dJcPtlTNL2R891%252FbB%252Ffc8xagxxeY&asb2=V5jsVENBw6ohV42m-G4nx3FjwQYKujtmd_jhmidDWHqtvfp4jaQym8t8gfmIu1kwr22rHBExcOA7kwWHaG3q-OqY3dI6ruTRMdUIiWNvGaJc9gugHfEKWVZ--QJ1LfnuYoR8GP9_b98htYc1-YLgWAQERS8MLiKMzKlv-lRNMe8&avtc=1&avte=2&avts=1684418069&from_sku=801068670&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGp69XA
ОЗОН	"Шланг ПВХ 50 мм напорно-всасывающий белый,10 метров +…"	KendM (ИП Майборода Виталий)	МПТ-Пластик	белый	пищевой	TRANS FOOD	10	50	8611	861	https://www.ozon.ru/product/shlang-pvh-50-mm-naporno-vsasyvayushchiy-belyy-10-metrov-216594298/?asb=SB0gte3hyX%252B2RW1QLVBTQFPQ0iqIDIlubmJOdJafLfw%253D&asb2=4bvvw4EQ5FjYdADMu7WsUBwgPYfberZCM4Fic9nuYaCQH6gzGR00FgboJSEWfiQ0&avtc=1&avte=2&avts=1684418865&sh=wqyUGu0TDg
ОЗОН	Fubag Шланг для мотопомпы FHT 2/8 напорно-всасывающий Fubag 2" / 8 м 838702	Технокей	Fubag	серый	дренажный	IRRIGATION	8	50	4460	558	https://www.ozon.ru/product/fubag-shlang-dlya-motopompy-fht-2-8-naporno-vsasyvayushchiy-fubag-2-8-m-838702-924710555/?asb=XtPMKsewKSvYaSdnOxlPSMcfOpxEMMfO361Muk2OOCU%253D&asb2=mOfTMDxMwy9f2tMKq-1WLvednI6ebogU6DXks1QLSEQQrvWtQyXTEs5tYb3kXJio&avtc=1&avte=2&avts=1684418865&sh=wqyUGum0WQ
ОЗОН	"Шланг напорно всасывающий 7N50, 10 м/п"	Строю Пруд (ИП Якубов Муроджон Маруфович)	Pondtech	черный	дренажный	IRRIGATION	10	50	6335	634	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-7n50-10-m-p-842508043/?asb=W%252Fyj39l72vAE67RRUbk9Tso%252BoqOonXaEG%252FapbvzqH70%253D&asb2=Pjy6cV9HERiWUV7vWiknspoymNMTiORUDpCjFAcI4aHVgXmf9FOxC3TTxO-1PwHz&avtc=1&avte=2&avts=1684418865&sh=wqyUGi0_iA
ОЗОН	"Шланг напорно - всасывающий 75 мм (3""), 10 атм (УСИЛЕННЫЙ), гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	26574	886	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75mm-3-10-atm-usilennyy-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-888655231/?asb=rMQazExqK3FQXzHRrkYFRREbWB8vaI%252FMVeQ5EQcGF3GKu9j11fLP1r3%252BVJPtk89Q&asb2=R5GSm_oiJr4CrGXmgWU6GgHYBGefjBe4khUvFn4NMAHxOBM1cbPORPZoNwSOHxdlI7ZLz32lLHe2_d5cFOIUGGFhFLME5ybJp9cHAqKbcACk65tpA04UIKTNutDZF3yRVu2NeOWZsubmObQbWiepvFDEaT8l4GDuJZLCG9juI4s&avtc=1&avte=2&avts=1684419459&from_sku=888655235&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGly0Ww
ОЗОН	"Шланг для дренажного насоса 75 мм (3""), 7 атм, напорно-всасывающий, гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	16557	552	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75mm-3-7-atm-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-60s-zashchita-881415133/?asb=hGfC2PDeyeCEKg3ZqStW1d6JraGAQEcbd2%252FIjWheMPE%253D&asb2=AoCzRJ8pXffOP_afIHv_1mGA6hkJ_hCAy0Tq2FdGXsn4jQ5enC5BX5B_Low3vY4V&avtc=1&avte=2&avts=1684419459&from_sku=881415159&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGgzS0A
ОЗОН	"НОВЭМ шланг напорно-всасывающий, спирально-армированный пвх север 10атм 75мм 10м Север_10атм_75_10"	ИП Лаптева Нина Викторовна	НОВЭМ	зеленый	дренажный	IRRIGATION	10	75	14628	1463	https://www.ozon.ru/product/novem-shlang-naporno-vsasyvayushchiy-spiralno-armirovannyy-pvh-sever-10atm-75mm-10m-sever-10atm-806326205/?asb=DdBJ5XmZq%252FZLYU4bwHNKcoOvlCnIOWT7HHDFs9jcL8o%253D&asb2=RBRkJ0QMh9TN0KCd3iX2y1z-yfWinzgLOD-GF8j646pd53NBV7YETCh8Et4-C9bo&avtc=1&avte=2&avts=1684419459&sh=wqyUGhqEwQ
ОЗОН	"Шланг Ассенизаторский (УСИЛЕННЫЙ) напорно-всасывающий 75 мм (3""), 10 атм, гофрированный, ударопрочный, морозостойкий ПВХ от -40С до +55С, защита от УФ, серый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	серый	ассенизаторский	CLEAN NORD	30	75	34969	1166	https://www.ozon.ru/product/shlang-assenizatorskiy-usilennyy-naporno-vsasyvayushchiy-75-mm-3-10-atm-gofrirovannyy-915361548/?asb=nVeIBByz5tkh7zJlzA%252BvVGAwOUfeGneWNjJ8G9RO7Xk%253D&asb2=o9lMGg0pvfGETmOFzhber--kn48W-oS5wKJ-nxzEleSRfDHB8L3DWJeUXxF4jT-2&avtc=1&avte=2&avts=1684419459&from_sku=915361541&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGjwrKQ
ОЗОН	"Шланг напорно - всасывающий 75 мм (3""), 10 атм (УСИЛЕННЫЙ), гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	26574	886	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75mm-3-10-atm-usilennyy-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-888655231/?asb=5o7BVY1QalnNFVteK297mJt1zMQaKs5%252F1AV2Dud59LsBvBxLK2KSW7hUwYHplYz6&asb2=A_-4q7pr9flnC_852DM5lN8vzNKZsB-6fH6-5Y8vkj6i1iwoS9UgLlHHdJb9FRS_-pP1BQDb9Ctp3fmTKttn8dhS6I5hWIzkHJpeOGMlAHqzt3eAUUk9QDCfqO49PIcFLoB166KI0IHxcdy21pvN0J0mTdgii0reMtzeXvrPGdI&avtc=1&avte=2&avts=1684419459&from_sku=888655231&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGux5HQ
ОЗОН	"Шланг Ассенизаторский напорно-всасывающий 75 мм (3""), 10 атм, гофрированный, морозостойкий ПВХ от -40С до +55С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	29971	999	https://www.ozon.ru/product/shlang-assenizatorskiy-naporno-vsasyvayushchiy-75mm-3-10-atm-gofrirovannyy-morozostoykiy-pvh-ot-892391959/?asb=d5elQ82I5fz4WCkjnRaXKWKLT%252Fv0esNwhczJ%252FB6B6%252FI%253D&asb2=2avZYEUQoi_5Epfj_7DdOmiufT3vbq33OWtMF6KXh2NemqX6KBcTv1rPLPsUI4xJ&avtc=1&avte=2&avts=1684419459&from_sku=892387097&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGu0eJw
ОЗОН	"Шланг напорно-всасывающий 75 мм (3""), 10 атм (СЕВЕР МОРОЗОСТОЙКИЙ до -55С), ассенизаторский, гофрированный, ( ПВХ / Каучук ), защита от УФ, зеленый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	30	75	50131	1671	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75-mm-3-10-atm-sever-morozostoykiy-do-55s-assenizatorskiy-924796821/?asb=D7VV11oi2mXGZWZa2%252Fzt2Et9sPlW61JIUoG8KB6qQgQ%253D&asb2=2MN5zfzy9pc6mNeEBviGD-LJM6rHdzGvqFD8MEoH_SRHWoWWaghaXakA7cVGLqTs&avtc=1&avte=2&avts=1684419459&from_sku=924799658&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGskIKQ
ОЗОН	Шланг ассенизаторский Агро Эластик 102мм -7 метров. Морозостойкий.	Гараж Мастер (ИП Симдянов Виталий Викторович)	ДЛ-Пласт	красный	ассенизаторский	CLEAN NORD	7	100	10251	1464	https://www.ozon.ru/product/shlang-assenizatorskiy-agro-elastik-102mm-7-metrov-morozostoykiy-842881934/?avtc=1&avte=2&avts=1685366321&sh=wqyUGuYg6g
ОЗОН	Шланг ассенизаторский 010SSZ (п-р. Болгария) 76мм-7 метров	Гараж Мастер (ИП Симдянов Виталий Викторович)	Plexistab Болгария	зеленый	ассенизаторский	CLEAN NORD	7	100	10346	1478	https://www.ozon.ru/product/shlang-assenizatorskiy-010ssz-p-r-bolgariya-76mm-7-metrov-883144091/?asb=cQwZHQV0MQaJabHe6f%252FvVsyfaTM22vb55CGRTvFF1dE%253D&asb2=jlhHpdkxKlYK19kFlZTzfitUhtMBLpAjunTdNjPtvhbw3M-V6zroHqDHqe28fTwC&avtc=1&avte=2&avts=1684491547&from_sku=842992107&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGnr7XQ
ОЗОН	"Шланг Ассенизаторский (УСИЛЕННЫЙ) напорно-всасывающий 102 мм (4""), 10 атм, гофрированный, ударопрочный, морозостойкий ПВХ от -40С до +55С, защита от УФ, серый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	серый	ассенизаторский	CLEAN NORD	30	100	49385	1646	https://www.ozon.ru/product/shlang-assenizatorskiy-usilennyy-naporno-vsasyvayushchiy-102-mm-4-10-atm-gofrirovannyy-915701441/?asb=%252FfwZkjMHfEculVvn%252ByIQqclaxXr9DGHmlLoyvVLUVVA%253D&asb2=HnKf6prfB8qujBGfqGXGnCUy7lzrk58ahV5NuSKet5hvW_wBEeP3E6cWcP243wmT&avtc=1&avte=2&avts=1684491547&from_sku=915361364&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGgCVkg
ОЗОН	"Шланг напорно - всасывающий 100 мм (4""), 10 атм (УСИЛЕННЫЙ), гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	100	45382	1513	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-100mm-4-10-atm-usilennyy-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-888654623/?asb=n39Jy%252BTBnM%252BvTJl%252FcYwtIrr%252F1Bq1t2UZxiG8Oe2GQNIr4HsCxmKdjThBParIVwo9&asb2=9-H2TQ77BZA0cEDGCgxSIle5Zq6kjVf2fzgIwqqXDjsQteh5BSF5eVYNc4VYqPCBS8f_SthpMcsUsOa8xukdlLjdenrjRzUq-a9LI9d4oZujAuOffZYGmbaEddBpHtmfH0KAUc7qqgTGJXQ_9jtMr64g1NWVYEqsfKVu1fT-PB8&avtc=1&avte=2&avts=1684491547&from_sku=888654598&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGsOy8Q
ОЗОН	"Шланг Ассенизаторский напорно-всасывающий 102 мм (4""), 10 атм, гофрированный, морозостойкий ПВХ от -40С до +55С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	ассенизаторский	CLEAN NORD	30	100	43389	1446	https://www.ozon.ru/product/shlang-assenizatorskiy-naporno-vsasyvayushchiy-102mm-4-10-atm-gofrirovannyy-morozostoykiy-pvh-ot-892486646/?asb=NAOIqHeoXXx2VjiTjT9MaEUNKohTBFLRPyul8UHXTeM%253D&asb2=yjGUcY5JVtnWJi-P5yb76CWB5tucyDo8-fm0R-rgB87DhBCpG6QFYekjgalW3x70&avtc=1&avte=2&avts=1684491547&from_sku=892460182&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fhosediameter%253D267415&oos_search=false&sh=wqyUGv_WXg
